path_id,time,asset_id,value
2,0.52,1,51.7088
2,0.52,2,86.801
2,0.53,0,95.644
2,0.53,1,51.0236
2,0.53,2,86.7161
2,0.54,0,99.1559
2,0.54,1,51.2446
2,0.54,2,86.7495
2,0.55,0,100.88
2,0.55,1,50.7276
2,0.55,2,90.124
2,0.56,0,100.731
2,0.56,1,51.0319
2,0.56,2,91.3494
2,0.57,0,99.7832
2,0.57,1,52.5548
2,0.57,2,89.1808
2,0.58,0,96.1316
2,0.58,1,50.8308
2,0.58,2,89.019
2,0.59,0,95.9401
2,0.59,1,51.8652
2,0.59,2,90.2358
2,0.6,0,97.4234
2,0.6,1,53.2367
2,0.6,2,89.969
2,0.61,0,97.2307
2,0.61,1,50.7532
2,0.61,2,91.2257
2,0.62,0,94.8836
2,0.62,1,50.1628
2,0.62,2,91.0479
2,0.63,0,99.2928
2,0.63,1,51.3066
2,0.63,2,90.4373
2,0.64,0,96.8243
2,0.64,1,49.433
2,0.64,2,92.5017
2,0.65,0,101.332
2,0.65,1,49.9669
2,0.65,2,93.0612
2,0.66,0,103.381
2,0.66,1,53.2717
2,0.66,2,92.3721
2,0.67,0,106.092
2,0.67,1,55.2993
2,0.67,2,93.4273
2,0.68,0,107.852
2,0.68,1,56.0274
2,0.68,2,93.7217
2,0.69,0,109.491
2,0.69,1,57.0782
2,0.69,2,93.9312
2,0.7,0,108.925
2,0.7,1,57.0529
2,0.7,2,93.4264
2,0.71,0,114.656
2,0.71,1,57.4744
2,0.71,2,94.5569
2,0.72,0,113.033
2,0.72,1,57.8079
2,0.72,2,92.9699
2,0.73,0,110.911
2,0.73,1,56.724
2,0.73,2,93.8092
2,0.74,0,112.423
2,0.74,1,56.3503
2,0.74,2,94.3722
2,0.75,0,113.244
2,0.75,1,59.8906
2,0.75,2,94.7938
2,0.76,0,110.415
2,0.76,1,63.0603
2,0.76,2,91.6078
2,0.77,0,112.708
2,0.77,1,64.1998
2,0.77,2,90.3384
2,0.78,0,108.076
2,0.78,1,62.7782
2,0.78,2,91.1647
2,0.79,0,109.178
2,0.79,1,66.6165
2,0.79,2,92.0596
2,0.8,0,109.55
2,0.8,1,66.4753
2,0.8,2,93.4578
